CompanyKey,Company,Year,WomenPct,BvdID,NACE,IncorpYear,NumDirectors,TotalAssets_m,ShareFunds_m,NetIncome_m,Revenue_m,MarketCap_m,Employees,ROA,TotalDebt_m,TobinQ,GenderDiv,GenderDivSq,Blau,FCA_Post,CriticalMass,GenderDiv_x_Post,FirmSize,Leverage,FirmAge,Industry
UNILEVER,Unilever Plc,2025,40.0,GB00041424,2042,1894.0,22.0,61538.7461015419,15357.8341117313,8268.79690703269,50817.8653720414,105970.649491301,96092.0,0.13436732840459206,46180.9119898106,2.472451441081594,0.4,0.16000000000000003,0.48,1,1,0.4,11.027422273327891,0.7504363497041338,131.0,20
SHELL,Shell Plc,2025,41.7,GB04366849,0610,2001.0,23.0,275240.790680911,130295.504742505,13256.298051506501,198742.65360418,157561.512190589,85000.0,0.04816254894019194,144945.28593840598,1.0990623787289353,0.41700000000000004,0.17388900000000004,0.48622200000000004,1,1,0.41700000000000004,12.525401596008523,0.5266126636965024,24.0,06
LONDON STOCK EXCHANGE,London Stock Exchange Group Plc,2025,33.3,GB05369106,8411,1904.0,22.0,796704.0,22168.0,1249.0,9375.0,45691.729160594,28516.0,0.0015677089609189862,774536.0,1.0295263098473135,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,12.639734497244369,0.9721753624934731,121.0,84
DIPLOMA,Diploma Plc,2025,44.4,GB03899848,4690,1999.0,21.0,1809.4,994.2,184.9,1524.5,7118.047678982,3390.0,0.10218857079694926,815.2,4.38446318060241,0.444,0.197136,0.49372799999999994,1,1,0.444,7.500750577591641,0.45053608931137396,26.0,46
IMI,IMI Plc,2025,44.4,GB00714275,2899,1961.0,13.0,2480.1,1109.1,309.9,2304.0,6145.510067904,10358.0,0.12495463892584976,1371.0,3.030728627032781,0.444,0.197136,0.49372799999999994,1,1,0.444,7.81605416092674,0.5528002903108746,64.0,28
TESCO,Tesco Plc,2025,36.4,GB00445790,4711,1946.0,24.0,39474.0,11457.0,1787.0,73712.0,30687.190003386,342303.0,0.045270304504230634,28017.0,1.487160916131783,0.364,0.132496,0.463008,1,1,0.364,10.583397506314054,0.7097583219334246,79.0,47
BABCOCK,Babcock International Group Plc,2025,40.0,GB02342138,7490,1988.0,26.0,3930.1,629.3,211.2,5177.7,5730.435476205,29000.0,0.053739090608381467,3300.8,2.2979658217869776,0.4,0.16000000000000003,0.48,1,1,0.4,8.276420149832202,0.8398768479173558,37.0,74
GLENCORE,Glencore Plc,2025,44.4,GBJE107710,2399,1904.0,22.0,105681.018479911,24975.6770936215,269.778336754883,184109.222610506,47744.235671579,,0.002552760567936478,80705.3413862895,1.215446055549565,0.444,0.197136,0.49372799999999994,1,1,0.444,11.568180576544837,0.7636692241155004,121.0,23
EASYJET,easyJet Plc,2025,40.0,GB03959649,5110,1999.0,21.0,11507.0,3498.0,494.0,10141.0,3517.166414795,18968.0,0.042930390197271226,8009.0,1.001665630902494,0.4,0.16000000000000003,0.48,1,1,0.4,9.350710824823459,0.6960111236638568,26.0,51
WHITBREAD,Whitbread Plc,2025,50.0,GB04120344,5510,1999.0,23.0,9566.6,3136.4,212.9,2926.8,4361.27991,29478.0,0.02225451048439362,6430.200000000001,1.1280371197708696,0.5,0.25,0.5,1,1,0.5,9.166033144414207,0.672151025442686,26.0,55
LONDONMETRIC PROPERTY,Londonmetric Property Plc,2025,44.4,GB07124797,6831,2009.0,22.0,8156.1,4732.9,295.7,464.6,4255.097653953,54.0,0.036255072890229396,3423.2000000000007,0.9414177920762374,0.444,0.197136,0.49372799999999994,1,1,0.444,9.006521392531393,0.41971040080430605,16.0,68
