CompanyKey,Company,Year,WomenPct
SSE,SSE Plc,2023,41.7
AVIVA,Aviva Plc,2023,41.7
LEGAL GENERAL,Legal & General Group Plc,2023,41.7
SMITH NEPHEW,Smith & Nephew Plc,2023,33.3
STANDARD CHARTERED,Standard Chartered Plc,2023,38.5
CRODA,Croda International Plc,2023,50.0
M G,M&G Plc,2023,37.5
SCHRODERS,Schroders Plc,2023,53.8
ADMIRAL,Admiral Group Plc,2023,45.5
KINGFISHER,Kingfisher Plc,2023,44.4
TESCO,Tesco Plc,2023,41.7
COMPASS,Compass Group Plc,2023,38.5
BUNZL,Bunzl Plc,2023,44.4
COCA COLA HBC,Coca-Cola HBC AG,2023,38.5
INFORMA,Informa Plc,2023,36.4
HSBC,HSBC Holdings Plc,2023,46.7
ROLLS ROYCE,Rolls-Royce Holdings Plc,2023,50.0
BERKELEY,Berkeley Group Holdings Plc,2023,44.4
FLUTTER,Flutter Entertainment Plc,2023,36.4
SEGRO,SEGRO Plc,2023,50.0
SMITHS,Smiths Group Plc,2023,40.0
GLENCORE,Glencore Plc,2023,37.5
CENTRICA,Centrica Plc,2023,41.7
OCADO,Ocado Group Plc,2023,45.5
JD SPORTS FASHION,JD Sports Fashion Plc,2023,41.7
SPIRAX,Spirax-Sarco Engineering Plc,2023,40.0
SMURFIT KAPPA,Smurfit Kappa Group Plc,2023,45.5
DS SMITH,DS Smith Plc,2023,40.0
BAE SYSTEMS,BAE Systems Plc,2023,38.5
INTERMEDIATE CAPITAL,Intermediate Capital Group Plc,2023,36.4
RECKITT BENCKISER,Reckitt Benckiser Group Plc,2023,42.9
EXPERIAN,Experian Plc,2023,45.5
DCC,DCC Plc,2023,40.0
ANGLO AMERICAN,Anglo American Plc,2023,40.0
UNITE,Unite Group Plc,2023,40.0
VODAFONE,Vodafone Group Plc,2023,45.5
IMI,IMI Plc,2023,44.4
TAYLOR WIMPEY,Taylor Wimpey Plc,2023,44.4
BARRATT REDROW,Barratt Developments Plc,2023,33.3
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2023,40.0
ST JAMES S PLACE,St. James's Place Plc,2023,37.5
BRITISH AMERICAN,British American Tobacco Plc,2023,45.5
IMPERIAL BRANDS,Imperial Brands Plc,2023,40.0
SHELL,Shell Plc,2023,41.7
MONDI,Mondi Plc,2023,40.0
BARCLAYS,Barclays Plc,2023,38.5
RENTOKIL INITIAL,Rentokil Initial Plc,2023,33.3
WEIR,Weir Group Plc,2023,44.4
ENTAIN,Entain Plc,2023,33.3
HIKMA,Hikma Pharmaceuticals Plc,2023,41.7
INTERTEK,Intertek Group Plc,2023,41.7
DIPLOMA,Diploma Plc,2023,37.5
ASHTEAD,Ashtead Group Plc,2023,44.4
ANTOFAGASTA,Antofagasta Plc,2023,40.0
ENDEAVOUR,Endeavour Mining Plc,2023,44.4
FRESNILLO,Fresnillo Plc,2023,33.3
RIO TINTO,Rio Tinto Plc30,2023,30.8
HOWDEN JOINERY,Howden Joinery Group Plc,2023,28.6
AIRTEL AFRICA,Airtel Africa Plc,2023,27.3
FRASERS,Frasers Group Plc,2023,28.6
BURBERRY,Burberry Group Plc,2022,41.7
NEXT,Next Plc,2022,40.0
J SAINSBURY,J Sainsbury Plc31,2022,44.4
PEARSON,Pearson Plc,2022,50.0
WPP,WPP Plc,2022,38.5
WHITBREAD,Whitbread Plc,2022,33.0
RIGHTMOVE,Rightmove Plc,2022,50.0
HALEON,Haleon Plc,2022,45.5
BEAZLEY,Beazley Plc,2022,50.0
PHOENIX,Phoenix Group Holdings,2022,50.0
