Company,BvdID,NACE,IncorpSerial,NumDirectors,Year,TotalAssets,ShareholdersFunds,NetIncome,Revenue,MarketCap,Employees,TotalAssets_m,MarketCap_m,ShareFunds_m,NetIncome_m,Revenue_m,IncorpYear,CompanyKey
MORGAN SINDALL GROUP PLC,GB00521970,4120,19560,17,2025,2448.3,748800.0,174900.0,5024100.0,2233.067733,8511.0,2448.3,2233.067733,748.8,174.9,5024.1,1952.0,MORGAN SINDALL
ADMIRAL GROUP PLC,GB03849958,6511,1993,24,2025,9022.8,1443300.0,742300.0,4979300.0,9728.236579868,,9022.8,9728.236579868,1443.3,742.3,4979.3,1904.0,ADMIRAL
SERCO GROUP PLC,GB02048608,8211,31645,27,2025,2796.0,873600.0,145600.0,4876800.0,2799.658799041,47663.0,2796.0,2799.658799041,873.6,145.6,4876.8,1985.0,SERCO
VERTU MOTORS PLC,GB05984855,4519,39022,24,2025,1559.144,357533.0,14623.0,4839184.0,188.2436825,7257.0,1559.144,188.2436825,357.533,14.623,4839.184,2005.0,VERTU MOTORS
AIRTEL AFRICA PLC,GB11462215,6190,43293,25,2025,10579.2346564241,2642725.0935764,514452.505314901,4880858.67339999,12558.410991554,4512.0,10579.2346564241,12558.410991554,2642.7250935764,514.452505314901,4880.85867339999,2017.0,AIRTEL AFRICA
FIRSTGROUP PLC,GBSC157176,4931,34789,13,2025,3101.4,719500.0,118300.0,4754000.0,934.926237777,30995.0,3101.4,934.926237777,719.5,118.3,4754.0,1994.0,FIRSTGROUP
SMITH & NEPHEW PLC,GB00324357,3250,13563,29,2025,7771.54839516752,3930737.25370957,464494.381465018,4581029.3877606,10524.29891092,17530.0,7771.54839516752,10524.29891092,3930.73725370957,464.494381465018,4581.0293877606,1936.0,SMITH NEPHEW
TRAVIS PERKINS PLC,GB00824821,4673,23677,19,2025,3810.8,1776300.0,-176300.0,4568100.0,1350.496821623,17302.0,3810.8,1350.496821623,1776.3,-176.3,4568.1,1963.0,TRAVIS PERKINS
BEAZLEY PLC,GB09763575,6511,1986,25,2025,12034.714987804,3620380.68778991,678830.668848237,4507304.83953447,4987.922234964,,12034.714987804,4987.922234964,3620.38068778991,678.830668848237,4507.3048395344695,1904.0,BEAZLEY
M&G PLC,GB11444019,6511,2018,24,2025,190601.0,3136000.0,314000.0,4425000.0,6899.690605929,,190601.0,6899.690605929,3136.0,314.0,4425.0,1904.0,M G
HILTON FOOD GROUP PLC,GB06165540,4632,39157,19,2025,1354.4,372200.0,78900.0,4346300.0,453.12357545,7389.0,1354.4,453.12357545,372.2,78.9,4346.3,2006.0,HILTON FOOD
KIER GROUP PLC,GB02708030,7112,33715,13,2025,3552.5,517200.0,56400.0,4084700.0,936.99553103,10361.0,3552.5,936.99553103,517.2,56.4,4084.7,1991.0,KIER
INFORMA PLC,GB08860726,5814,41663,26,2025,12324.8,6259900.0,11000.0,4042800.0,11381.232088092,14052.0,12324.8,11381.232088092,6259.9,11.0,4042.8,2013.0,INFORMA
TAYLOR WIMPEY PLC,GB00296805,4120,12816,17,2025,6066.1,4186800.0,100400.0,3967400.0,3810.761386734,4496.0,6066.1,3810.761386734,4186.8,100.4,3967.4,1934.0,TAYLOR WIMPEY
INTERCONTINENTAL HOTELS GROUP PLC,GB05134420,5510,38128,21,2025,3972.35595028884,-2033370.60430126,564081.976851118,3866822.82681999,15862.046685408,13049.0,3972.35595028884,15862.046685408,-2033.37060430126,564.081976851118,3866.82282681999,2003.0,INTERCONTINENTAL HOTELS
POLAR CAPITAL TECHNOLOGY TRUST PLC,GB03224867,6430,1996,19,2025,3907.002,3804889.0,118355.0,122338.0,3375.470238657,,3907.002,3375.470238657,3804.889,118.355,122.338,1904.0,POLAR CAPITAL TECHNOLOGY TRUST
PERSIMMON PLC,GB01818486,4120,30824,11,2025,5318.2,3614100.0,285700.0,3772700.0,4356.453108943,4605.0,5318.2,4356.453108943,3614.1,285.7,3772.7,1983.0,PERSIMMON
3I GROUP PLC,GB01142830,6430,16438,20,2025,32338.0,30887000.0,5294000.0,3845000.0,24982.252843295,216.0,32338.0,24982.252843295,30887.0,5294.0,3845.0,1944.0,I
VISTRY GROUP PLC,GB00306718,4120,13092,18,2025,6379.1,3324600.0,138000.0,3728200.0,2054.014861953,4406.0,6379.1,2054.014861953,3324.6,138.0,3728.2,1934.0,VISTRY
SSP GROUP PLC,GB05735966,1089,38785,25,2025,3424.1,268900.0,-74400.0,3642300.0,1373.271371149,48683.0,3424.1,1373.271371149,268.9,-74.4,3642.3,2005.0,SSP
PEARSON PLC,GB00053723,5811,08/12/1897,27,2025,6458.0,3663000.0,335000.0,3609000.0,6676.05624,17062.0,6458.0,6676.05624,3663.0,335.0,3609.0,1897.0,PEARSON
MELROSE INDUSTRIES PLC,GB09800044,3030,42276,20,2025,7596.0,2827000.0,370000.0,3589000.0,7402.18186859,13647.0,7596.0,7402.18186859,2827.0,370.0,3589.0,2014.0,MELROSE INDUSTRIES
ITV PLC,GB04967001,6020,37943,20,2025,4285.0,1823000.0,220000.0,3511000.0,3123.691236836,6485.0,4285.0,3123.691236836,1823.0,220.0,3511.0,2002.0,ITV
INTERTEK GROUP PLC,GB04267576,7120,37112,31,2025,3761.5,1127500.0,343500.0,3431600.0,7120.884532071,45425.0,3761.5,7120.884532071,1127.5,343.5,3431.6,2000.0,INTERTEK
FRESNILLO PLC,GB06344120,2441,39309,21,2025,5409.88653948496,3771461.75870971,1028567.44002401,3402561.06414121,24568.032369701,18273.0,5409.88653948496,24568.032369701,3771.46175870971,1028.56744002401,3402.56106414121,2006.0,FRESNILLO
MOBICO GROUP PLC,GB02590560,4931,33308,17,2025,2784.3,-305000.0,-336500.0,3362700.0,106.359758256,32097.0,2784.3,106.359758256,-305.0,-336.5,3362.7,1990.0,MOBICO
SMITHS GROUP PLC,GB00137013,2651,5310,22,2025,4011.0,2060000.0,290000.0,3336000.0,7754.174957477,16103.0,4011.0,7754.174957477,2060.0,290.0,3336.0,1913.0,SMITHS
ENDEAVOUR MINING PLC,GB13280545,0729,44276,20,2025,4170.175,2542283.0,505168.0,3149052.0,9344.336808194,5381.0,4170.175,9344.336808194,2542.283,505.168,3149.052,2020.0,ENDEAVOUR MINING
ZEGONA COMMUNICATIONS PLC,GB09395163,6619,2015,15,2025,6917.89248475707,-757160.244629054,-165009.081869346,3160172.24203541,3749.594265583,2904.0,6917.89248475707,3749.594265583,-757.160244629054,-165.009081869346,3160.17224203541,1904.0,ZEGONA COMMUNICATIONS
KELLER GROUP PLC,GB02442580,7112,32825,23,2025,1828.4,644200.0,142700.0,3093500.0,1172.112939805,9864.0,1828.4,1172.112939805,644.2,142.7,3093.5,1988.0,KELLER
SCOTTISH MORTGAGE INVESTMENT TRUST PLC,GBSC007058,6430,1908,14,2025,15464.442,13822175.0,3101619.0,3109087.0,12840.966494945,,15464.442,12840.966494945,13822.175,3101.619,3109.087,1904.0,SCOTTISH MORTGAGE INVESTMENT TRUST
WHITBREAD PLC,GB04120344,5510,36861,23,2025,9566.6,3136400.0,212900.0,2926800.0,4361.27991,29478.0,9566.6,4361.27991,3136.4,212.9,2926.8,1999.0,WHITBREAD
CRANSWICK PLC,GB01074383,1013,26571,11,2025,1737.3,1088900.0,158300.0,2982500.0,2839.477520778,13033.0,1737.3,2839.477520778,1088.9,158.3,2982.5,1971.0,CRANSWICK
RS GROUP PLC,GB00647788,4652,21937,18,2025,2670.8,1413900.0,162000.0,2881100.0,2654.676975591,8600.0,2670.8,2654.676975591,1413.9,162.0,2881.1,1959.0,RS
BELLWAY PLC,GB01372603,4120,28650,11,2025,5194.5,3556200.0,157500.0,2852100.0,2962.893259708,2746.0,5194.5,2962.893259708,3556.2,157.5,2852.1,1977.0,BELLWAY
INTERNATIONAL WORKPLACE GROUP PLC,GBJE122154,6831,2003,10,2025,6923.56745236498,-226673.258154929,13377.4381861925,2795884.58091424,2298.79361686,9225.0,6923.56745236498,2298.79361686,-226.67325815492902,13.3774381861925,2795.88458091424,1904.0,WORKPLACE
